Date,Price,Open,High,Low,Vol.,Change %
2023-07-10,0.9999,0.9998,1.0,0.9992,514580,0
2023-07-09,0.9999,0.9998,1.0,0.9996,276640,0
2023-07-08,0.9998,0.9999,0.9999,0.9996,237000,0
2023-07-07,0.9999,0.9999,0.9999,0.9994,393350,0
2023-07-06,0.9998,0.9998,0.9999,0.9992,477400,0
2023-07-05,0.9998,0.9997,0.9999,0.9991,581650,0
2023-07-04,0.9997,0.9996,0.9999,0.9994,427720,0
2023-07-03,0.9996,1.0,1.0001,0.9985,992220,0
2023-07-02,1.0,0.9998,1.0005,0.9993,363170,0
2023-07-01,0.9998,0.9997,0.9999,0.9979,415290,0
2023-06-30,0.9997,0.9998,0.9999,0.9964,1470000,0
2023-06-29,0.9999,0.9999,1.0,0.9987,439440,0
2023-06-28,0.9999,0.9997,1.0001,0.9997,631720,0
2023-06-27,0.9997,0.9999,1.0,0.9995,611980,0
2023-06-26,0.9999,1.0,1.0005,0.9993,1390000,0
2023-06-25,1.0,1.0001,1.003,0.9996,433740,0
2023-06-24,1.0001,0.9998,1.0083,0.9997,1170000,0
2023-06-23,0.9998,0.9998,1.0003,0.9992,616870,0
2023-06-22,0.9998,1.0,1.0002,0.9994,1060000,0
2023-06-21,1.0,0.9999,1.0002,0.9995,1010000,0
2023-06-20,0.9999,1.0004,1.0019,0.9997,876910,0
2023-06-19,1.0004,0.9999,1.0023,0.9994,777870,0
2023-06-18,0.9999,0.9996,1.0,0.9995,266000,0
2023-06-17,0.9996,0.9999,1.0002,0.9992,814470,0
2023-06-16,0.9999,0.9998,1.0017,0.9995,1620000,0
2023-06-15,0.9998,1.0,1.0013,0.9996,2510000,0
2023-06-14,1.0,1.0,1.0015,1.0,788690,0
2023-06-13,1.0,0.9998,1.0008,0.9997,1370000,0
2023-06-12,0.9998,0.9999,1.0005,0.999,1170000,0
2023-06-11,0.9999,1.0012,1.0042,0.9997,392180,0
2023-06-10,1.0012,1.0,1.0093,0.9996,1590000,0
2023-06-09,1.0,0.9999,1.0003,0.9999,1030000,0
2023-06-08,0.9999,1.0,1.0002,0.9996,928620,0
2023-06-07,1.0,1.0,1.0002,0.9996,1560000,0
2023-06-06,1.0,0.9998,1.0,0.9994,940910,0
2023-06-05,0.9998,0.9999,1.0002,0.9996,688040,0
2023-06-04,0.9999,0.9999,1.0001,0.9995,344580,0
2023-06-03,0.9999,0.9999,1.0,0.9998,394730,0
2023-06-02,0.9999,0.9999,1.0,0.9996,625540,0
2023-06-01,0.9999,0.9999,1.0001,0.9995,971080,0
2023-05-31,0.9999,0.9999,1.0001,0.9995,1190000,0
2023-05-30,0.9999,1.0,1.0002,0.9995,688760,0
2023-05-29,1.0,1.0001,1.0006,0.9998,492930,0
2023-05-28,1.0,0.9999,1.0002,0.9996,389160,0
2023-05-27,0.9999,0.9999,1.0009,0.9998,517090,0
2023-05-26,0.9999,0.9999,1.0002,0.9996,936180,0
2023-05-25,0.9999,0.9998,1.0001,0.9996,1020000,0
2023-05-24,0.9999,0.9998,1.0001,0.9993,1050000,0
2023-05-23,0.9998,1.0,1.0001,0.9992,1630000,0
2023-05-22,0.9999,0.9999,1.0002,0.9997,1470000,0
2023-05-21,0.9999,1.0,1.0003,0.9998,927340,0
2023-05-20,1.0,0.9999,1.0005,0.9998,616650,0
2023-05-19,0.9999,1.0001,1.0009,0.9975,769440,0
2023-05-18,1.0001,1.0001,1.0014,0.9998,946780,0
2023-05-17,0.9999,0.9999,1.0023,0.9997,1200000,0
2023-05-16,1.0,0.9999,1.0027,0.9997,1050000,0
2023-05-15,1.0,0.9999,1.0043,0.9997,1070000,0
2023-05-14,1.0,0.9999,1.0009,0.9997,303500,0
2023-05-13,0.9999,0.9999,1.0011,0.9997,728680,0
2023-05-12,0.9999,1.0,1.0031,0.9996,872830,0
2023-05-11,0.9999,0.9997,1.0011,0.9996,613970,0
2023-05-10,0.9997,0.9999,1.0046,0.9996,953400,0
2023-05-09,0.9999,0.9998,1.0002,0.9996,1030000,0
2023-05-08,0.9998,0.9998,1.0002,0.9996,670610,0
2023-05-07,0.9998,0.9999,1.0002,0.9997,336190,0
2023-05-06,0.9999,0.9999,1.0001,0.9995,361800,0
2023-05-05,0.9999,0.9999,1.0005,0.9997,509430,0
2023-05-04,0.9999,0.9999,1.0002,0.9997,483200,0
2023-05-03,0.9999,1.0,1.0004,0.9996,1240000,0
2023-05-02,1.0,1.0,1.0002,0.9997,424240,0
2023-05-01,1.0,1.0002,1.0004,0.9991,1390000,0
2023-04-30,1.0002,1.0001,1.0055,0.9998,327100,0
2023-04-29,1.0001,0.9999,1.0004,0.9998,457950,0
2023-04-28,0.9999,1.0,1.0002,0.9987,781980,0
2023-04-27,1.0,1.0001,1.0003,0.9997,414810,0
2023-04-26,1.0001,0.9999,1.0002,0.9997,583200,0
2023-04-25,0.9999,0.9998,1.0001,0.9985,443890,0
2023-04-24,0.9998,0.9998,1.0015,0.998,768890,0
2023-04-23,0.9998,0.9997,1.0005,0.9995,315080,0
2023-04-22,0.9997,1.0008,1.0014,0.9997,588120,0
2023-04-21,1.0008,0.9997,1.0013,0.999,1250000,0
2023-04-20,0.9997,0.9999,1.0001,0.9995,499430,0
2023-04-19,1.0001,0.9998,1.0001,0.9993,906720,0
2023-04-18,0.9998,0.9997,1.0002,0.9996,1590000,0
2023-04-17,0.9997,0.9992,1.0,0.9992,631990,0
2023-04-16,0.9992,0.9999,0.9999,0.9986,975690,0
2023-04-15,0.9999,0.9998,0.9999,0.9994,379350,0
2023-04-14,0.9998,0.9997,1.0,0.9958,1790000,0
2023-04-13,0.9997,0.9997,1.0001,0.9982,842690,0
2023-04-12,0.9997,0.9995,1.0001,0.9993,589540,0
2023-04-11,0.9995,0.9998,1.0001,0.9991,836990,0
2023-04-10,0.9998,0.9997,0.9998,0.9988,661800,0
2023-04-09,0.9997,0.9997,0.9999,0.9983,612760,0
2023-04-08,0.9997,0.9997,0.9999,0.9994,460840,0
2023-04-07,0.9997,0.9998,1.0,0.9989,498180,0
2023-04-06,0.9998,0.9997,1.0,0.9995,811370,0
2023-04-05,0.9997,0.9997,1.0,0.9994,912410,0
2023-04-04,0.9997,0.9997,0.9999,0.9992,753770,0
2023-04-03,0.9997,0.9994,0.9999,0.9992,639560,0
2023-04-02,0.9994,0.9996,1.0,0.9991,371680,0
2023-04-01,0.9996,0.9997,1.0,0.9993,777180,0
2023-03-31,0.9997,0.9996,0.9999,0.9991,872880,0
2023-03-30,0.9997,0.9997,1.0,0.9994,1190000,0
2023-03-29,0.9997,0.9997,1.0,0.995,5460000,0
2023-03-28,0.9997,0.9996,0.9999,0.9992,2340000,0
2023-03-27,0.9995,0.9996,0.9998,0.9979,799830,0
2023-03-26,0.9996,0.9996,0.9999,0.9994,322890,0
2023-03-25,0.9996,0.9997,0.9998,0.9992,554950,0
2023-03-24,0.9996,0.9997,0.9999,0.998,2210000,0
2023-03-23,0.9997,0.9995,0.9998,0.9993,1040000,0
2023-03-22,0.9995,1.0001,1.0003,0.9994,1530000,0
2023-03-21,1.0001,0.9998,1.0009,0.9995,7920000,0
2023-03-20,1.0,0.9996,1.0008,0.9994,3170000,0
2023-03-19,0.9996,0.9997,0.9999,0.9994,1010000,0
2023-03-18,0.9997,0.9997,0.9999,0.9996,1060000,0
2023-03-17,0.9997,0.9997,1.0002,0.9996,1360000,0
2023-03-16,0.9997,0.9996,1.001,0.9989,3650000,0
2023-03-15,0.9996,0.9994,1.0006,0.9977,6530000,0
2023-03-14,0.9994,0.9992,1.0009,0.9956,6430000,0
2023-03-13,0.9992,0.9927,1.0005,0.9868,9720000,0
2023-03-12,0.9927,0.9705,0.9939,0.943,3740000,0
2023-03-11,0.9705,0.9997,1.0094,0.8611,10970000,0
2023-03-10,0.9997,0.9998,1.0005,0.999,5030000,0
2023-03-09,0.9998,0.9999,1.0,0.9985,2880000,0
2023-03-08,0.9999,0.9998,1.0,0.999,2100000,0
2023-03-07,0.9998,0.9998,1.0,0.9996,1100000,0
2023-03-06,0.9998,0.9998,1.0005,0.9995,1210000,0
2023-03-05,0.9998,0.9999,0.9999,0.9994,323600,0
2023-03-04,0.9998,0.9999,1.0,0.9998,158420,0
2023-03-03,0.9999,0.9997,1.0,0.9997,1150000,0
2023-03-02,0.9997,0.9997,0.9999,0.9991,1690000,0
2023-03-01,0.9997,0.9998,0.9999,0.9996,654170,0
2023-02-28,0.9997,0.9998,1.0001,0.9995,1210000,0
2023-02-27,0.9998,0.9998,0.9999,0.9991,707160,0
2023-02-26,0.9998,0.9998,1.0,0.9996,398740,0
2023-02-25,0.9998,0.9996,0.9999,0.9995,805530,0
2023-02-24,0.9996,0.9997,1.0,0.9993,1290000,0
2023-02-23,0.9997,0.9998,0.9999,0.9996,845940,0
2023-02-22,0.9998,0.9999,0.9999,0.9989,805040,0
2023-02-21,0.9999,0.9999,1.0001,0.9998,821960,0
2023-02-20,0.9999,0.9998,1.0078,0.9995,1010000,0
2023-02-19,0.9998,0.9998,0.9999,0.9995,571380,0
2023-02-18,0.9998,0.9998,1.0,0.9997,570760,0
2023-02-17,0.9998,0.9997,1.0,0.9994,1120000,0
2023-02-16,0.9997,0.9999,1.0002,0.9983,1670000,0
2023-02-15,0.9999,0.9998,1.0,0.9996,1320000,0
2023-02-14,0.9998,0.9999,1.0,0.9988,2290000,0
2023-02-13,0.9999,0.9996,1.0001,0.9989,1070000,0
2023-02-12,0.9996,0.9998,0.9999,0.9995,274350,0
2023-02-11,0.9998,0.9997,1.0001,0.9996,493870,0
2023-02-10,0.9998,0.9995,0.9999,0.9992,1540000,0
2023-02-09,0.9995,0.9994,0.9998,0.9991,1250000,0
2023-02-08,0.9994,0.9995,0.9998,0.9991,700690,0
2023-02-07,0.9995,0.9994,1.0002,0.9986,1630000,0
2023-02-06,0.9998,0.9995,1.0,0.9985,1950000,0
2023-02-05,0.9995,0.9996,1.0,0.9986,705840,0
2023-02-04,0.9996,0.9998,1.0002,0.9989,655620,0
2023-02-03,0.9998,0.9996,1.0,0.999,529770,0
2023-02-02,0.9996,0.9997,0.9999,0.9978,1290000,0
2023-02-01,0.9997,0.9997,1.0,0.9991,1970000,0
2023-01-31,0.9997,0.9998,1.0,0.9984,1480000,0
2023-01-30,0.9998,0.9995,0.9999,0.998,1830000,0
2023-01-29,0.9995,0.9999,0.9999,0.9991,414950,0
2023-01-28,0.9999,0.9997,0.9999,0.9991,568720,0
2023-01-27,0.9997,0.9997,0.9999,0.9986,1110000,0
2023-01-26,0.9997,0.9999,0.9999,0.9985,827900,0
2023-01-25,0.9999,0.9998,0.9999,0.9997,902260,0
2023-01-24,0.9998,0.9999,1.0,0.9993,1400000,0
2023-01-23,0.9999,0.9998,0.9999,0.9997,796020,0
2023-01-22,0.9998,0.9997,1.0,0.9996,514090,0
2023-01-21,0.9997,0.9997,1.0,0.9996,1050000,0
2023-01-20,0.9997,0.9998,1.0,0.9985,2470000,0
2023-01-19,0.9998,0.9998,0.9999,0.9994,891090,0
2023-01-18,0.9998,0.9998,1.0,0.9982,2910000,0
2023-01-17,0.9998,0.9998,0.9999,0.999,2850000,0
2023-01-16,0.9998,0.9999,0.9999,0.9981,1490000,0
2023-01-15,0.9999,0.9998,1.0,0.9995,659980,0
2023-01-14,0.9997,0.9998,1.0,0.9996,1120000,0
2023-01-13,0.9998,0.9997,1.0,0.9996,892750,0
2023-01-12,0.9997,0.9998,1.0,0.9995,997910,0
2023-01-11,0.9998,0.9997,0.9999,0.9989,5280000,0
2023-01-10,0.9997,0.9997,0.9999,0.9996,607590,0
2023-01-09,0.9997,0.9996,0.9999,0.9985,1260000,0
2023-01-08,0.9996,1.0,1.0002,0.999,427180,0
2023-01-07,1.0,0.9998,1.0003,0.9995,522990,0
2023-01-06,0.9998,0.9998,1.0002,0.9997,497160,0
2023-01-05,0.9998,0.9996,1.0,0.9993,635300,0
2023-01-04,0.9996,0.9998,1.0,0.9992,1190000,0
2023-01-03,0.9998,0.9998,1.0002,0.9982,1470000,0
2023-01-02,0.9998,0.9999,1.0,0.9992,518040,0
2023-01-01,0.9999,1.0,1.0002,0.9998,421450,0
2022-12-31,1.0,1.0002,1.0002,0.9996,1020000,0
2022-12-30,1.0002,0.9999,1.0015,0.9996,792210,0
2022-12-29,0.9999,0.9998,1.0027,0.9996,840150,0
2022-12-28,0.9998,0.9999,1.0005,0.9991,942290,0
2022-12-27,0.9999,1.0001,1.0009,0.998,2370000,0
2022-12-26,1.0001,1.0002,1.0008,0.9993,1080000,0
2022-12-25,1.0002,0.9999,1.0004,0.9999,368470,0
2022-12-24,0.9999,0.9998,1.0006,0.9995,556520,0
2022-12-23,0.9998,1.0,1.0007,0.9993,1050000,0
2022-12-22,0.9999,0.9998,1.0001,0.9986,1140000,0
2022-12-21,0.9998,0.9999,1.0003,0.9993,1100000,0
2022-12-20,0.9999,1.0,1.0001,0.9995,1500000,0
2022-12-19,1.0,0.9999,1.0,0.9995,577860,0
2022-12-18,0.9999,0.9998,1.0001,0.9996,931360,0
2022-12-17,0.9998,1.0,1.0001,0.9984,774730,0
2022-12-16,1.0,0.9997,1.0001,0.9997,828950,0
2022-12-15,0.9997,1.0001,1.0003,0.9992,978870,0
2022-12-14,1.0,0.9999,1.0006,0.9996,917860,0
2022-12-13,0.9999,0.9998,1.0,0.9981,1840000,0
2022-12-12,0.9998,0.9991,0.9999,0.9979,4610000,0
2022-12-11,0.9991,1.0,1.0001,0.9978,2240000,0
2022-12-10,1.0,0.9996,1.0003,0.9992,514310,0
2022-12-09,0.9996,0.9999,1.0,0.9995,501620,0
2022-12-08,1.0,0.9997,1.0,0.9996,1000000,0
2022-12-07,0.9996,0.9998,1.0001,0.9995,1160000,0
2022-12-06,0.9998,0.9998,1.0,0.9996,832800,0
2022-12-05,0.9998,0.9999,1.0001,0.9997,2190000,0
2022-12-04,0.9999,0.9999,1.0002,0.9997,1030000,0
2022-12-03,0.9999,0.9999,1.0001,0.9997,613500,0
2022-12-02,0.9999,1.0001,1.0002,0.9997,1030000,0
2022-12-01,1.0001,0.9997,1.0002,0.9996,1380000,0
2022-11-30,0.9997,0.9999,1.0001,0.9996,2180000,0
2022-11-29,0.9999,0.9997,1.0003,0.9997,1470000,0
2022-11-28,0.9997,0.9999,1.0001,0.9995,1330000,0
2022-11-27,1.0,1.0,1.0002,0.9998,333070,0
2022-11-26,0.9999,0.9998,1.0001,0.9998,635100,0
2022-11-25,0.9998,1.0,1.0002,0.9997,693050,0
2022-11-24,0.9999,0.9998,1.0004,0.9997,1160000,0
2022-11-23,0.9998,0.9998,1.0,0.9996,2200000,0
2022-11-22,0.9998,0.9998,1.0001,0.9996,2270000,0
2022-11-21,0.9998,0.9994,1.0001,0.9987,3010000,0
2022-11-20,0.9994,0.9999,1.0,0.9992,2330000,0
2022-11-19,0.9999,0.9997,1.0,0.9993,2360000,0
2022-11-18,0.9998,0.9997,1.0006,0.9995,1100000,0
2022-11-17,0.9997,0.9997,1.0,0.9986,1750000,0
2022-11-16,0.9997,0.9999,1.0004,0.9987,3570000,0
2022-11-15,0.9999,0.9999,1.0006,0.9994,1330000,0
2022-11-14,0.9999,1.0,1.0011,0.9993,1620000,0
2022-11-13,1.0,0.9999,1.0012,0.9987,1360000,0
2022-11-12,0.9999,0.9997,1.002,0.9984,1900000,0
2022-11-11,0.9997,1.0005,1.0013,0.9988,3210000,0
2022-11-10,1.0005,1.0004,1.0073,0.9966,5160000,0
2022-11-09,1.0004,0.9996,1.0042,0.9984,6640000,0
2022-11-08,0.9997,0.9998,1.0,0.9992,4360000,0
2022-11-07,0.9998,0.9999,1.0006,0.9997,2020000,0
2022-11-06,0.9999,0.9999,1.0001,0.9998,1040000,0
2022-11-05,0.9999,1.0,1.0001,0.9998,1100000,0
2022-11-04,0.9999,0.9999,1.0001,0.9994,2250000,0
2022-11-03,0.9999,0.9999,1.0,0.9997,838510,0
2022-11-02,0.9999,0.9997,1.0001,0.9994,1870000,0
2022-11-01,0.9997,0.9998,1.0,0.9994,1560000,0
2022-10-31,1.0,0.9997,1.0002,0.9983,4370000,0
2022-10-30,0.9997,0.9997,0.9999,0.9993,1380000,0
2022-10-29,0.9998,0.9997,1.0001,0.9994,1640000,0
2022-10-28,0.9999,0.9999,1.0004,0.9993,1930000,0
2022-10-27,0.9999,1.0004,1.0004,0.9998,2190000,0
2022-10-26,1.0004,1.0,1.0006,0.9996,2960000,0
2022-10-25,1.0,1.0001,1.0003,0.9994,2530000,0
2022-10-24,1.0001,0.9999,1.0005,0.9997,1830000,0
2022-10-23,0.9999,1.0003,1.0006,0.9999,717420,0
2022-10-22,1.0003,0.9995,1.0003,0.9994,716800,0
