Date,Price,Open,High,Low,Vol.,Change %,Returns,Log Returns,Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Vol_Norm
2021-05-24,0.9914,0.7915,0.9956,0.7567,2340000000.0,0.0,1.755106230113923,0.0173988211551779,Monday,1,0,0,0,0,0,1.1640774417905961
2021-05-25,0.9743,0.9915,1.0527,0.8808,2420000000.0,0.0,-5.563632839003585,-0.0572439416750346,Tuesday,0,1,0,0,0,0,1.2360342900076298
2021-05-26,1.0317,0.9744,1.0664,0.9489,1680000000.0,0.0,6.306027820710969,0.0611518034972652,Wednesday,0,0,1,0,0,0,0.5704334440000673
2021-05-27,0.9705,1.0317,1.0403,0.9339,1410000000.0,0.0,7.929270462633453,0.0763059234696383,Thursday,0,0,0,1,0,0,0.3275790812675783
2021-05-28,0.8992,0.9706,0.983,0.8473,1740000000.0,0.0,8.285163776493242,0.0795979667278023,Friday,0,0,0,0,1,0,0.6244010801628427
2021-05-29,0.8304,0.8991,0.9385,0.7948,1470000000.0,0.0,-8.354486259794724,-0.0872421628163907,Saturday,0,0,0,0,0,1,0.3815467174303537
2021-05-30,0.9061,0.8304,0.93,0.7988,1210000000.0,0.0,-13.117269153322464,-0.1406108978991522,Sunday,0,0,0,0,0,0,0.14768696072499382
2021-05-31,1.0429,0.9059,1.0489,0.8832,1780000000.0,0.0,3.1961211161686043,0.0314610802693588,Monday,1,0,0,0,0,0,0.6603795042713596
2021-06-01,1.0106,1.0412,1.0973,0.9771,1610000000.0,0.0,-1.3471300273330766,-0.013562861467562,Tuesday,0,1,0,0,0,0,0.5074712018101628
2021-06-02,1.0244,1.0106,1.0477,0.9814,950130000.0,0.0,-1.905582686967344,-0.0192397291601327,Wednesday,0,0,1,0,0,0,-0.08605586610201332
2021-06-03,1.0443,1.0244,1.0773,1.0078,974270000.0,0.0,7.737542556484045,0.0745279219869405,Thursday,0,0,0,1,0,0,-0.06434288715252338
2021-06-04,0.9693,1.0443,1.0459,0.919,1270000000.0,0.0,5.050395578194444,0.0492700069140522,Friday,0,0,0,0,1,0,0.20165459688776916
2021-06-05,0.9227,0.9688,0.9972,0.8969,898300000.0,0.0,-2.349454968779763,-0.02377494720407,Saturday,0,0,0,0,0,1,-0.1326749091406241
2021-06-06,0.9449,0.9227,0.9478,0.9177,559240000.0,0.0,9.439425526986334,0.0902010186672031,Sunday,0,0,0,0,0,0,-0.43764602109646755
